country_code,month,day,source_years
AE,1,1,10
AE,12,2,10
AF,1,1,10
AF,4,28,10
AS,1,1,10
AS,7,4,10
AS,11,11,10
AS,12,25,10
AZ,1,1,10
AZ,1,20,10
AZ,3,8,10
AZ,3,20,10
AZ,3,21,10
AZ,3,22,10
AZ,3,23,10
AZ,3,24,10
AZ,5,9,10
AZ,5,28,10
AZ,6,15,10
AZ,6,26,10
AZ,11,9,10
AZ,12,31,10
BN,1,1,10
BN,2,23,10
BN,5,31,10
BN,7,15,10
BN,12,25,10
BT,1,1,10
BT,1,2,10
BT,2,21,10
BT,2,22,10
BT,2,23,10
BT,5,2,10
BT,11,1,10
BT,11,11,10
BT,12,17,10
FJ,1,1,10
FJ,10,10,10
FJ,12,25,10
FJ,12,26,10
GU,1,1,10
GU,7,4,10
GU,7,21,10
GU,11,2,10
GU,11,11,10
GU,12,8,10
GU,12,25,10
IL,1,1,10
IN,1,1,10
IN,1,26,10
IN,8,15,10
IN,10,2,10
IN,12,25,10
IR,1,1,10
JO,1,1,10
JO,5,1,10
JO,5,25,10
JO,12,25,10
KG,1,1,10
KG,1,7,10
KG,2,23,10
KG,3,8,10
KG,3,21,10
KG,5,1,10
KG,5,5,10
KG,5,9,10
KG,8,31,10
KG,11,7,10
KP,1,1,10
KP,2,16,10
KP,3,8,10
KP,4,15,10
KP,4,25,10
KP,5,1,10
KP,6,6,10
KP,7,27,10
KP,8,15,10
KP,8,25,10
KP,9,9,10
KP,10,10,10
KP,12,27,10
KW,1,1,10
KW,2,25,10
KW,2,26,10
LA,1,1,10
LA,1,20,10
LA,3,8,10
LA,4,14,10
LA,4,15,10
LA,5,1,10
LA,12,2,10
LB,1,1,10
LB,2,9,10
LB,2,14,10
LB,3,25,10
LB,5,1,10
LB,5,6,10
LB,5,25,10
LB,8,15,10
LB,11,22,10
LB,12,25,10
LK,1,1,10
LK,2,4,10
LK,4,13,10
LK,5,1,10
LK,12,25,10
MM,1,1,10
MM,1,4,10
MM,2,12,10
MM,3,27,10
MM,4,13,10
MM,4,14,10
MM,4,15,10
MM,4,16,10
MM,5,1,10
MM,7,19,10
MM,12,25,10
MM,12,31,10
MO,1,1,10
MO,5,1,10
MO,10,1,10
MO,10,2,10
MO,11,2,10
MO,12,8,10
MO,12,20,10
MO,12,24,10
MO,12,25,10
MU,1,1,10
MU,1,2,10
MU,2,1,10
MU,3,12,10
MU,5,1,10
MU,11,2,10
MU,12,25,10
MV,1,1,10
MV,5,1,10
MV,7,26,10
MV,7,27,10
MV,11,3,10
MV,11,11,10
MY,1,1,10
MY,5,1,10
MY,8,31,10
MY,12,25,10
NP,1,1,10
NP,2,19,10
NP,4,24,10
NP,12,30,10
OM,1,1,10
OM,7,23,10
OM,11,18,10
PK,1,1,10
PK,2,5,10
PK,3,23,10
PK,5,1,10
PK,8,14,10
PK,12,25,10
PK,12,26,10
PS,1,1,10
PS,5,1,10
PS,11,15,10
PS,12,25,10
QA,1,1,10
QA,12,18,10
RE,1,1,10
RE,5,1,10
RE,5,8,10
RE,7,14,10
RE,8,15,10
RE,11,1,10
RE,11,11,10
RE,12,20,10
RE,12,25,10
SA,1,1,10
TH,1,1,10
TH,4,6,10
TH,4,13,10
TH,4,14,10
TH,4,15,10
TH,5,1,10
TH,8,12,10
TH,10,23,10
TH,12,5,10
TH,12,10,10
TH,12,31,10
TJ,1,1,10
TJ,3,8,10
TJ,5,1,10
TJ,5,9,10
TJ,6,27,10
TJ,9,9,10
TJ,11,6,10
TL,1,1,10
TL,5,1,10
TL,5,20,10
TL,8,30,10
TL,11,1,10
TL,11,2,10
TL,11,12,10
TL,11,28,10
TL,12,7,10
TL,12,8,10
TL,12,25,10
TM,1,1,10
TM,3,8,10
TM,5,18,10
TM,6,27,10
TM,10,6,10
TM,12,12,10
TW,1,1,10
TW,2,28,10
TW,5,1,10
TW,10,10,10
UZ,1,1,10
UZ,1,14,10
UZ,3,8,10
UZ,3,21,10
UZ,5,9,10
UZ,9,1,10
UZ,10,1,10
UZ,12,8,10
YT,1,1,10
YT,5,1,10
